d,Z,L,KE,At.Risk,CA,error,ion,nn,Z.b,beta,Nweight,Comment,X,X.1,X.2,X.3,year,tumor
0,,,,1003,,,,,,,,4-beam,0,1,0,0,,
15.6,,,,1006,,,,,,,,4-beam,1,0,2,1,,
31.2,,,,1018,,,,,,,,4-beam,3,6,1,1,,
62.4,,,,1036,,,,,,,,4-beam,8,2,11,3,,
31.2,,,,1013,,,,,,,,4-beam,4,3,1,0,,
0,,,,1819,,,,,,,,6-beam,4,0,0,0,,
H-0.6,,,,1028,,,,,,,,6-beam,12,13,3,1,,
He-0.2,,,,1011,,,,,,,,6-beam,1,3,0,1,,
O-0.1,,,,1017,,,,,,,,6-beam,8,4,2,1,,
Si-0.025,,,,1014,,,,,,,,6-beam,5,5,0,0,,
Ti-0.025,,,,1023,,,,,,,,6-beam,6,4,2,2,,
Fe-0.05,,,,1014,,,,,,,,6-beam,2,1,4,1,,
GCR-0.1,,,,1802,,,,,,,,6-beam,26,22,11,2,,
GCR-0.05,,,,1673,,,,,,,,6-beam,13,11,4,1,,
GCR-0.025,,,,2029,,,,,,,,6-beam,16,8,1,0,,
