"","d","Z","L","KE","At.Risk","CA","error","ion","nn","Z.b","beta","Nweight","Comment","X","X.1","X.2","X.3","year","tumor"
"1",0,8,77,55,1016,0.002438976,0.00243777579881137,"O55",16,436.7738512,0.382790959,168272.240589703,NA,0,1,0,0,2014,1
"2",0.0125,8,77,55,1048,0.016551527,0.00623496130926866,"O55",16,436.7738512,0.382790959,25723.6430383495,NA,3,2,1,1,2014,7
"3",0.025,8,77,55,1019,0.024317959,0.00765218760983353,"O55",16,436.7738512,0.382790959,17077.676467853,NA,2,5,2,1,2014,10
"4",0.05,8,77,55,1046,0.023690249,0.00745561808196194,"O55",16,436.7738512,0.382790959,17990.0634095124,NA,3,4,1,2,2014,10
"5",0.075,8,77,55,1072,0.011557836,0.00515675307091942,"O55",16,436.7738512,0.382790959,37605.1502504001,NA,3,1,0,1,2014,5
"6",0.1,8,77,55,1042,0.028537428,0.00819047254682024,"O55",16,436.7738512,0.382790959,14906.7195906965,NA,4,6,2,0,2014,12
"7",0.2,8,77,55,1055,0.025836967,0.00774942009368501,"O55",16,436.7738512,0.382790959,16651.8155261823,NA,5,2,2,2,2014,11
"8",0.3,8,77,55,1000,0.069384,0.0129274673677407,"O55",16,436.7738512,0.382790959,5983.74530389589,NA,7,11,8,2,2014,28
"9",0.4,8,77,55,681,0.069136564,0.0156381879826226,"O55",16,436.7738512,0.382790959,4089.09444295125,NA,7,5,2,5,2014,19
"10",0,14,99,170,1109,0.004468891,0.00315713237017177,"Si170",28,689.4011091,0.53320234,100326.21265903,NA,1,0,0,1,2014,2
"11",0.02,14,99,170,1301,0.019046887,0.00599996170279794,"Si170",28,689.4011091,0.53320234,27778.1323848957,NA,4,3,1,2,2014,10
"12",0.04,14,99,170,1236,0.016038835,0.00565220328085265,"Si170",28,689.4011091,0.53320234,31301.4498722355,NA,2,3,0,3,2014,8
"13",0.08,14,99,170,1264,0.01960443,0.00617489332599516,"Si170",28,689.4011091,0.53320234,26226.5449669467,NA,3,2,1,4,2014,10
"14",0.12,14,99,170,1270,0.023414173,0.00672708111122999,"Si170",28,689.4011091,0.53320234,22097.6795641422,NA,2,4,1,5,2014,12
"15",0.2,14,99,170,1299,0.041967667,0.00887144500128067,"Si170",28,689.4011091,0.53320234,12706.0708028647,NA,8,5,3,6,2014,22
"16",0,14,99,170,1236,0,0,"Si170",28,689.4011091,0.53320234,Inf,NA,0,0,0,0,2014,0
"17",0.02,14,99,170,1233,0.012058394,0.00491082653355381,"Si170",28,689.4011091,0.53320234,41465.8729409365,NA,3,1,1,1,2014,6
"18",0.04,14,99,170,1221,0.012176904,0.0049589710197749,"Si170",28,689.4011091,0.53320234,40664.6332161487,NA,3,1,1,1,2014,6
"19",0.06,14,99,170,1258,0.015758347,0.00555367345329468,"Si170",28,689.4011091,0.53320234,32421.9640015347,NA,3,3,2,0,2014,8
"20",0.08,14,99,170,1230,0.014102439,0.00531503199754821,"Si170",28,689.4011091,0.53320234,35398.7749978641,NA,2,4,1,0,2014,7
"21",0.1,14,99,170,1309,0.018930481,0.00596343387183061,"Si170",28,689.4011091,0.53320234,28119.47347836,NA,4,2,1,3,2014,10
