"d","CA","CI_lower","CI_upper","simpleeffect","silicon","ironsix"
0,0.00071,0.00071,0.00071,0.00071,0.00071,0.00071
0.001,0.0108570341580439,0.0095440403083586,0.011761472393254,0.0198236226667431,0.0108318999720368,0.00970368003775398
0.002,0.0108940424681664,0.00957958430727221,0.0117885343091699,0.0198255800097908,0.0108371214107176,0.00970624798159364
0.003,0.0109345879968072,0.00961745624250815,0.0118092297166942,0.0198288317589625,0.0108457588938063,0.00971050959258838
0.004,0.0109780516161064,0.00964825525978724,0.0118500200624831,0.0198333693923112,0.0108577601285812,0.00971645003404713
0.005,0.0110242141889844,0.00967968037474354,0.0119060545963756,0.0198391844404817,0.0108730735332589,0.00972405458475183
0.006,0.0110728820941959,0.0097136132527211,0.011963812867156,0.0198462684863946,0.010891648227936,0.00973330863811501
0.007,0.0111239749271564,0.0097499611734552,0.0120152120257374,0.0198546131649327,0.0109134340256416,0.00974419770134337
0.008,0.0111772562613428,0.00978866420215468,0.01206880776462,0.0198642101626283,0.0109383814234993,0.0097567073946071
0.009,0.0112326695488344,0.00982966357450926,0.0121242752056354,0.0198750512173534,0.0109664415939973,0.00977082345021507
0.01,0.0112901681624549,0.00987291152389431,0.0121844490630231,0.0198871281180107,0.0109975663763655,0.00978653171179585
0.02,0.01196990092398,0.0104116975630522,0.0128798074843824,0.0200740980881614,0.0114672324611462,0.0100281492367384
0.03,0.0128164582658429,0.0110341625803968,0.0137337825816637,0.0203759877734292,0.012195018530601,0.010414211307395
0.04,0.0138059292404324,0.0119119455692864,0.014756658261212,0.0207853816978846,0.0131425239124946,0.0109322760954014
0.05,0.0149194521796916,0.0126880527778379,0.0159882163982129,0.0212953115254388,0.0142763778477299,0.01157084944974
0.06,0.0161409197130137,0.0137268911137077,0.0173231191218328,0.021899229837996,0.0155676241378708,0.0123193173639521
0.07,0.0174562243977989,0.0147991866693099,0.0188129508178643,0.0225909854263835,0.0169911779285609,0.0131678830586046
0.08,0.0188529119413619,0.0158617330148297,0.0204202867206936,0.023364800007896,0.0185253464161416,0.0141075083725402
0.09,0.0203199539702678,0.0169969129361067,0.0220564079600575,0.024215246289143,0.0201514061801029,0.0151298591763699
0.1,0.0218475780669238,0.0179770925346138,0.0237747199677304,0.0251372272974699,0.0218532306589601,0.0162272545403165
0.11,0.0234271274915758,0.0189369657855247,0.0256090784144496,0.0261259569085489,0.0236169620125924,0.0173926194059794
0.12,0.0250509408251215,0.0199115686283452,0.0274077756919011,0.0271769415018229,0.0254307222597176,0.0186194405279277
0.13,0.0267122462364644,0.0209909324928546,0.0293128874667742,0.0282859626793411,0.0272843591536718,0.019901725466321
