"d","CA","CI_lower","CI_upper","simpleeffect","silicon","ironsix"
0,0.00071,0.00071,0.00071,0.00071,0.00071,0.00071
0.001,0.011003263245622,0.00681310104474936,0.0142653930153529,0.0200888274124386,0.0109782758854035,0.00982235677465706
0.002,0.0110396202502022,0.00683386389110051,0.0143024153147118,0.0200906326600606,0.010982957077319,0.00982486003466419
0.003,0.0110792848427556,0.00685662429319603,0.0143427353853233,0.0200936318221765,0.0109907008656648,0.00982901430011357
0.004,0.0111216742183307,0.00688106732962788,0.0143858432385395,0.0200978171119832,0.0110014603682921,0.00983480510803496
0.005,0.0111665683668897,0.00690701813548985,0.0144314441460444,0.020103180790399,0.0110151893404314,0.00984221810802243
0.006,0.0112137967325072,0.00693438795586947,0.0144793537447808,0.0201097151657784,0.011031842166572,0.00985123906141329
0.007,0.0112632352416772,0.00696309684471989,0.0145294266527657,0.0201174125936285,0.0110513738524399,0.00986185384047258
0.008,0.0113147677797511,0.00699307575314321,0.0145815564669553,0.020126265476327,0.0110737400170744,0.00987404842758343
0.009,0.0113682629537569,0.00702427978386972,0.0146356552208271,0.0201362662628422,0.0110988968850015,0.00988780891444304
0.01,0.0114236779452143,0.00705666654829241,0.0146916496199233,0.0201474074484538,0.0111268012785031,0.00990312150126421
0.02,0.0120742863066196,0.00743947696160227,0.0153331867192569,0.0203199227797673,0.0115478724072587,0.0101386529322359
0.03,0.0128782347518552,0.00791627560862971,0.0161458111389608,0.0205985562369862,0.0122003566118634,0.0105149905011571
0.04,0.0138131529456786,0.00881197949501406,0.0170237046717235,0.0209765253394945,0.0130498264236813,0.0110200057763703
0.05,0.0148615761670636,0.00938361997161209,0.0183612685528655,0.0214474536568028,0.0140663638570292,0.0116424941325586
0.06,0.0160086599754676,0.0102216607847545,0.0197352218240088,0.0220053471130205,0.0152240087253934,0.0123721089190386
0.07,0.0172414405305036,0.0110337045997533,0.0215771475489367,0.0226445716540522,0.016500271629857,0.0131993001270542
0.08,0.0185484941293484,0.0118067266820274,0.0233183694693672,0.0233598322000516,0.0178757042567807,0.0141152572573208
0.09,0.0199197190009757,0.0126168214886348,0.0255536931545291,0.0241461528100247,0.0193335204424117,0.015111856108494
0.1,0.0213461739173203,0.0134111839832719,0.0280842888102235,0.0249988579895878,0.0208592621927255,0.0161816092254233
0.11,0.0228199464421834,0.0142542571158881,0.0303573216427871,0.0259135550767715,0.0224405054971944,0.0173176197630653
0.12,0.0243340405706907,0.015220531787098,0.0330286889529481,0.026886117644432,0.0240666013540107,0.0185135385378623
0.13,0.0258822784468304,0.0161325975563266,0.0357195128938389,0.0279126698612925,0.0257284479393454,0.0197635240532964
0.14,0.0274592132928331,0.0170113587714038,0.0382369769270956,0.0289895717569112,0.027418290311428,0.0210622053002771
0.15,0.0290600517029571,0.0178542211055757,0.0407965817545473,0.0301134053389583,0.0291295444477709,0.0224046471460733
0.16,0.0306805840134829,0.018706662049671,0.0433909636420022,0.0312809615141014,0.0308566427762638,0.023786318137713
0.17,0.0323171217632953,0.0195667522594798,0.0460136472589553,0.0324892277665494,0.0325948986830437,0.0252030605571979
0.18,0.0339664414518364,0.0204074010449514,0.0486589518211348,0.0337353765509057,0.0343403877664138,0.0266510625765722
0.19,0.0356257339290752,0.0212552640305291,0.051321909365953,0.0350167543584331,0.0360898438605489,0.0281268323708829
0.2,0.0372925588454724,0.0221063712196676,0.0539981846642258,0.0363308714181488,0.037840568078786,0.0296271740564222
0.21,0.0389648036617421,0.0228124974893337,0.0566840091260205,0.0376753919963528,0.0395903493270806,0.031149165330394
0.22,0.040640646775983,0.0237080370646874,0.0593761186130189,0.0390481252602597,0.041337394916482,0.0326901366963268
0.23,0.0423185243738144,0.0245874650059305,0.0620716977517267,0.0404470166733468,0.0430802700617311,0.0342476521672121
0.24,0.0439971006480167,0.0253886401019705,0.0647683281286313,0.041870139891873,0.044817845193519,0.035819491345498
0.25,0.0456752410694928,0.0261746078538981,0.0674639464267911,0.0433156891337572,0.0465492501365299,0.0374036327857674
0.26,0.0473519884222156,0.0270235854646559,0.0701568025215381,0.0447819719926418,0.0482738343158874,0.0389982385521814
0.27,0.0490265413420724,0.027808445956227,0.0728454256236912,0.0462674026715125,0.0499911322525878,0.0406016398886207
0.28,0.0506982351234911,0.0285915752352096,0.0755285876290719,0.047770495611705,0.0517008336953299,0.0422123239249294
0.29,0.0523665245793417,0.0293444747605836,0.0782052767349065,0.0492898594945049,0.0534027578130843,0.0438289213477732
0.3,0.054030968758758,0.0300200865026479,0.0808746708416826,0.0508241915938442,0.0550968309408786,0.0454501949694081
0.31,0.0556912173447595,0.0308720167205421,0.0835361115654178,0.0523722724598282,0.0567830674316041,0.0470750291321189
0.32,0.0573469985692063,0.0315668857866926,0.086189087266189,0.0539329609139768,0.0584615532200394,0.0487024198902617
0.33,0.0589981084966881,0.0322595037189499,0.0888332153719302,0.055505189338161,0.0601324317525215,0.050331465915747
0.34,0.0606444015418171,0.032949839381985,0.0914682196939864,0.0570879592402415,0.0617958919774657,0.051961360076444
0.35,0.0622857820961182,0.0336378798971954,0.0940939233650715,0.0586803370803897,0.0634521581288562,0.0535913816403907
0.36,0.063922197151463,0.0343236278884905,0.0967102289413292,0.060281450342986,0.0651014810674544,0.0552208890618807
0.37,0.0655536298168959,0.0350070990585889,0.0993171102656477,0.0618904838398577,0.066744130973279,0.0568493133084638
0.38,0.0671800936347678,0.0356883183739638,0.101914601405565,0.0635066762314318,0.0683803912083442,0.0584761516906796
0.39,0.0688016276106064,0.0363673197452298,0.10450278701778,0.0651293167531484,0.0700105531910768,0.0601009621589325
0.4,0.0704182918787979,0.0370441477789361,0.107081790841498,0.0667577421352082,0.0716349121436171,0.0617233580343393
0.41,0.0720301639335491,0.0377188511069934,0.109651778654259,0.068391333704409,0.0732537635906413,0.0633430031426424
0.42,0.0736373353611004,0.0383914830296958,0.112212942736581,0.0700295146574745,0.0748674005037004,0.0649596073223925
0.43,0.0752399090154242,0.0390621004203888,0.114765499000687,0.0716717474958867,0.076476110998585,0.0665729222805762
0.44,0.0768379965853437,0.0397307627751929,0.117309682041057,0.0733175316128088,0.078080176505115,0.0681827377707032
0.45,0.0784317165062259,0.0405245289142417,0.119845740784395,0.0749664010232258,0.0796798703392052,0.0697888780700874
0.46,0.080021192174276,0.0413437330427738,0.122373949401859,0.0766179222289432,0.0812754566162353,0.0713911987346575
0.47,0.0816065504258736,0.0421606850849633,0.124894559019438,0.0782716922105632,0.0828671894528145,0.072989583611129
0.48,0.0831879202484666,0.0428620861817744,0.127407850566895,0.0799273365390169,0.084455312411093,0.0745839420877671
0.49,0.0847654316932379,0.0435402138173882,0.129801757113988,0.0815845075996535,0.0860400581459684,0.0761742065662703
0.5,0.0863392149637489,0.0442167196481207,0.132184191091121,0.0832428829222973,0.0876216482209554,0.0777603301385204
