d,Z,L,KE,At.Risk,X.T,CA,error,ion,nn,Z.b,beta,Nweight,MeH_#,X,X.1,X.2,X.3,year,added
0,,0.4,250,881,3,0.003405221,0.001962655,H250,1,2.646906979,0.614653927,259604.3436,P-20,3,0,0,0,sufa_2018,
0,,,,1819,4,0.00219901,0.001098296,,,,,829013.2588,P-24,4,0,0,0,2018,3.18.2019
0,,,,1003,1,0.000997009,0.000996512,,,,,1007013.001,P-11,1,0,0,0,2016,
0.005,1,0.4,250,1002,1,0.000998004,0.000997506,H250,1,2.646906979,0.614653927,1005007.001,P-20,1,0,0,0,2018,
0.01,1,0.4,250,1005,2,0.00199005,0.001405777,H250,1,2.646906979,0.614653927,506019.504,P-20,1,0,1,0,2018,
0.05,1,0.4,250,1006,4,0.003976143,0.001984115,H250,1,2.646906979,0.614653927,254019.016,P-20,3,1,0,0,2018,
0.1,1,0.4,250,1023,9,0.008797654,0.002919623,H250,1,2.646906979,0.614653927,117313.0799,P-20,4,3,0,2,2018,
0.2,1,0.4,250,1016,12,0.011811024,0.003389354,H250,1,2.646906979,0.614653927,87049.47676,P-20,11,1,0,0,2018,
0.4,1,0.4,250,1021,16,0.015670911,0.003886909,H250,1,2.646906979,0.614653927,66189.81723,P-20,8,4,2,2,2018,
0.6,1,0.4,250,1028,29,0.028210117,0.005164069,H250,1,2.646906979,0.614653927,37498.66943,P-24,12,13,3,1,2018,3.18.2019
0.2,1,0.4,250,1004,4,0.003984064,0.00198806,H250,1,2.646906979,0.614653927,253012.016,P-11,1,3,0,0,2016,
0.3,1,0.4,250,919,5,0.005440696,0.002426525,H250,1,2.646906979,0.614653927,169836.2274,P-11,3,2,0,0,2016,
0.4,1,0.4,250,1023,9,0.008797654,0.002919623,H250,1,2.646906979,0.614653927,117313.0799,P-11,4,4,1,0,2016,
0.6,1,0.4,250,1035,11,0.010628019,0.003187394,H250,1,2.646906979,0.614653927,98430.20907,P-11,4,5,1,1,2016,
0,,1.58,250,1009,2,0.001982161,0.001400209,He250,4,10.58762792,0.614653927,510051.504,P-19,2,0,0,0,2018,
0.005,2,1.58,250,1007,5,0.004965243,0.002215005,He250,4,10.58762792,0.614653927,203821.825,P-19,5,0,0,0,2018,
0.01,2,1.58,250,1002,1,0.000998004,0.000997506,He250,4,10.58762792,0.614653927,1005007.001,P-19,1,0,0,0,2018,
0.05,2,1.58,250,1011,6,0.005934718,0.002415638,He250,4,10.58762792,0.614653927,171370.5358,P-19,2,1,3,0,2018,
0.1,2,1.58,250,2015,12,0.005955335,0.00171403,He250,4,10.58762792,0.614653927,340379.1552,P-19,4,5,0,3,2018,
0.2,2,1.58,250,1011,11,0.010880317,0.003262643,He250,4,10.58762792,0.614653927,93942.21191,P-19,5,4,0,2,2018,
0.2,2,1.58,250,1011,5,0.004945598,0.002206263,He250,4,10.58762792,0.614653927,205440.2249,P-24,1,3,0,1,2018,3.18.2019
0.4,2,1.58,250,1016,12,0.011811024,0.003389354,He250,4,10.58762792,0.614653927,87049.47676,P-19,4,3,3,2,2018,
0,8,55,77,1127,1,0.000887311,0.000886918,O77,16,436.7738512,0.382790959,1271257.001,J224,4,0,0,0,2018,
0.0125,8,55,77,1391,1,0.000718907,0.000718649,O77,16,436.7738512,0.382790959,1936273.001,J224,1,0,2,0,2018,
0.02,8,55,77,1396,3,0.002148997,0.00123939,O77,16,436.7738512,0.382790959,651004.3398,J224,2,2,0,0,2018,
0.05,8,55,77,1310,2,0.001526718,0.001078728,O77,16,436.7738512,0.382790959,859362.0031,J224,4,7,1,0,2018,
0.025,8,55,77,1394,4,0.00286944,0.00143266,O77,16,436.7738512,0.382790959,487207.0115,J224,6,5,1,0,2018,
0.075,8,55,77,1367,4,0.002926116,0.001460916,O77,16,436.7738512,0.382790959,468543.2617,J224,8,4,2,1,2018,3.18.2019
0.1,8,55,77,1383,7,0.005061461,0.001908205,O77,16,436.7738512,0.382790959,274631.3213,J224,8,5,2,1,2018,
0.2,8,55,77,1109,15,0.013525699,0.003468622,O77,16,436.7738512,0.382790959,83116.27233,J224,9,5,3,1,2018,
0.4,8,55,77,912,21,0.023026316,0.004966566,O77,16,436.7738512,0.382790959,40540.35209,J224,0,1,0,0,2014,"2014 is default for Cucnotta, Chappell,  Hada et al."
0.8,8,55,77,457,28,0.061269147,0.011218463,O77,16,436.7738512,0.382790959,7945.720363,J224,3,2,1,1,2014,
0,8,21,350,2009,4,0.00199104,0.000994529,O350,16,135.8809964,0.686294669,1011033.258,P-21,2,5,2,1,2014,
0.005,8,21,350,1004,3,0.002988048,0.001722571,O350,16,135.8809964,0.686294669,337012.3423,P-21,3,4,1,2,2014,
0.01,8,21,350,1005,4,0.0039801,0.001986086,O350,16,135.8809964,0.686294669,253515.266,P-21,3,1,0,1,2014,
0.05,8,21,350,1512,12,0.007936508,0.002281963,O350,16,135.8809964,0.686294669,192036.096,P-21,4,6,2,0,2014,
0.1,8,21,350,1807,12,0.006640841,0.00191067,O350,16,135.8809964,0.686294669,273923.1636,P-21,5,2,2,2,2014,
0.1,8,21,350,1017,15,0.014749263,0.003780054,O350,16,135.8809964,0.686294669,69984.82455,P-24,7,11,8,2,2014,
0.2,8,21,350,2025,16,0.007901235,0.001967489,O350,16,135.8809964,0.686294669,258330.1899,P-21,7,5,2,5,2014,
0.4,8,21,350,930,18,0.019354839,0.004517615,O350,16,135.8809964,0.686294669,48998.35526,P-21,1,0,0,0,2014,
0,,55,77,1016,1,0.000984252,0.000983767,O77,16,436.7738512,0.382790959,1033273.001,J227,4,3,1,0,2014,used non-combined 3.19.19
0.0125,8,55,77,1048,7,0.006679389,0.002516126,O77,16,436.7738512,0.382790959,157955.6185,J227,5,5,0,0,2018,3.18.2019
0.025,8,55,77,1019,10,0.009813543,0.00308805,O77,16,436.7738512,0.382790959,104865.1991,J227,2,3,0,1,2014,
0.05,8,55,77,1046,10,0.009560229,0.003008724,O77,16,436.7738512,0.382790959,110467.6965,J227,3,2,1,0,2014,
